Subject;WMC_MU;WMC_Binding;WMC_OpSp;WMC_SenSp;BIS_PC;BIS_M;BIS_PS;BIS_C;V_Mean;N_Mean;F_Mean;g_Mean;G_total
101;0.242222222;0.647571429;0.748095238;0.908730159;93.33;102.67;101;102;106.4;92.8;96.2;98.47;94
102;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
104;0.611111111;0.848857143;0.706746032;0.812063492;101.33;97.33;97.67;110.33;96.2;100.4;108.2;101.6;100
105;0.791111111;0.964285714;0.991666667;0.955555556;110.33;101.33;110;109.67;111.6;108;105.4;108.33;113
106;0.143333333;NA;0.591190476;0.54968254;85.83;97.33;102;86.33;100.4;91;83;91.47;79
107;0.497777778;0.869071429;0.764206349;0.822539683;102.33;95.33;88;94.33;100;95.4;94;96.47;90
108;0.194444444;0.636857143;NA;0.11952381;98;92.33;87.33;101.33;104.2;91.8;90.2;95.4;87
109;0.887777778;0.947642857;0.856269841;0.961904762;107.5;103;106.33;99;106.4;101.4;106.2;104.67;106
110;0.774444444;0.958357143;0.777142857;0.834126984;113.17;108.33;112;100.33;110.8;109.8;107.6;109.4;115
111;0.753333333;0.944071429;0.740555556;0.867777778;107.33;108.67;98.33;99.33;110;106;96.6;104.2;105
112;0.688888889;0.976214286;0.611031746;0.894444444;103;112;107.67;100;108;103;104.4;105.13;107
113;0.863333333;0.929785714;0.920238095;0.977777778;102.5;97.33;99.67;103;108.2;98.6;96.2;101;99
114;0.771111111;0.863071429;0.828968254;0.755396825;93.17;83.67;92.67;91.33;100.6;93.2;78.6;90.8;78
115;0.851111111;0.923785714;0.978333333;0.947619048;97.33;97;99.67;98.33;101;94.4;98.4;97.93;93
116;0.89;0.964285714;0.910952381;0.99047619;102;102.67;93.67;90.33;97.4;103.4;93.6;98.13;93
117;0.75;0.892857143;0.820238095;0.920634921;107.67;94;94.33;95;103.8;102;93.4;99.73;96
118;0.924444444;0.8155;0.826269841;0.980952381;107.5;104;107;104;112.8;109.6;95.6;106;109
119;0.422222222;0.822642857;0.634126984;0.439365079;102.67;98.67;96.67;101.33;105.6;94.4;101.2;100.4;98
120;0.625555556;0.814285714;0.83984127;0.935873016;100;95;94.67;91.67;103.2;90.6;95;96.27;89
121;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
122;0.826666667;0.938142857;0.934444444;0.936507937;98.5;84.67;98;97.33;106;86.2;94;95.4;87
123;0.672222222;0.927357143;0.892063492;0.941428571;113.33;100.67;99.67;99;108.2;105;102.4;105.2;107
124;0.662222222;0.929785714;0.795555556;0.900793651;107.67;94.67;114.67;110.33;113;109.2;98.8;107;111
125;0.88;0.908357143;0.844761905;0.920634921;106;101.67;111.33;108.33;104;111.6;104.4;106.67;110
126;0.754444444;0.922642857;0.774126984;0.900793651;108.83;100;101.67;98;111;101.8;97.6;103.47;104
127;0.938888889;0.971428571;0.95;0.94047619;110.67;98;102.33;91.67;109.2;109;89.8;102.67;102
128;0.432222222;0.795285714;0.853571429;0.942857143;93.5;96.33;102.67;98;102.6;92.6;95.2;96.8;90
129;0.488888889;0.860785714;0.834047619;0.905714286;95.83;88;91.67;95;100.8;85.4;93.6;93.27;83
130;0.664444444;0.938142857;0.907539683;0.952380952;106.5;108.33;105.67;97;109;108.8;96.6;104.8;106
131;0.856666667;0.926142857;0.789126984;0.891428571;107.33;96.67;105.33;110.67;107.6;103.6;105.2;105.47;108
132;0.238888889;0.917857143;0.695555556;0.730793651;98.5;90.67;103.33;98.67;100.2;95.6;98;97.93;93
133;0.833333333;0.917857143;0.79;0.952380952;111;92.33;105;100.33;107;112.2;92.6;103.93;105
134;0.806666667;0.935714286;0.698015873;0.867619048;116.17;89.67;104.67;97.33;106.8;105.4;102.2;104.8;106
135;0.423333333;0.842928571;0.660952381;0.763333333;98.67;103.33;97;89;106;90.2;95.8;97.33;91
136;0.926666667;0.971428571;0.767857143;0.949206349;116.5;98.33;104.33;95.33;113.6;109;96;106.2;109
137;0.973333333;1;0.983333333;0.988888889;110.5;108;105.33;88;105;103;105.4;104.47;106
138;0.463333333;0.788142857;0.843015873;0.873015873;107.67;90.67;104;97.67;106;98;100.6;101.53;100
139;0.73;0.857142857;0.745;0.871746032;96;87;108;90.33;104;94.8;87.6;95.47;87
140;0.61;0.922642857;0.856904762;0.887301587;94.83;100.67;102.67;99;100.2;93.4;101.6;98.4;94
141;0.673333333;0.971428571;0.778333333;0.746190476;98.17;102.67;106.33;89;106.6;98.6;91.4;98.87;95
142;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
143;0.534444444;0.827428571;0.426190476;0.728253968;95.5;98;95.67;92.67;99;90.6;96.8;95.47;87
144;0.79;0.833357143;0.821190476;0.877142857;94.33;95.67;101;96.67;108;85.8;95.4;96.4;89
145;0.946666667;0.927357143;0.898333333;0.961111111;115.17;100.33;112.67;100.33;112;110.6;103.6;108.73;114
146;0.844444444;1;0.938095238;0.964285714;98.67;106;107.33;102;108.6;98.8;100.2;102.53;102
147;0.741111111;0.95;0.857936508;0.764603175;102.33;88;92.67;93.33;102.6;90;94.6;95.73;88
148;0.441111111;0.883357143;0.635555556;0.594761905;91;95.33;98;96.67;98;90.8;94.4;94.4;85
149;0.604444444;0.9;0.815238095;0.807301587;99.17;98;105.33;96.67;107.4;90.6;101;99.67;96
150;0.436666667;0.797642857;0.67547619;0.753015873;95.83;101.67;97.33;92.33;106.4;92.4;91;96.6;90
151;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
